file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P1,0.0,25.309125,matched_audio_transcripts,-46.79520816870802,-47.21143003412195,4.404914518937179,7.993259336744311
single_st3,0.0,4.5,matched_audio_transcripts,-44.404947916666664,-53.721824963887535,4.3832059067354745,10.402986311731603
P3,0.0,30.7068125,matched_audio_transcripts,-46.62016647671768,-47.52927406863297,3.4096456882009214,10.172351566638211
P2,0.0,28.6474375,matched_audio_transcripts,-46.00003817626527,-46.63578394721536,3.2212553821996806,7.931203981217227
single_st1,0.0,4.125,matched_audio_transcripts,-43.98736380145279,-54.24898942311605,2.8459348576214554,11.625701598212629
single_st2,0.0,3.875,matched_audio_transcripts,-44.84275833601804,-50.95407931009928,2.5950962657487593,12.358243745435463
